,District,"2018 (1,2,3t)"
1,Ciutat Vella,354175.0991666667
2,Eixample,366987.75166666665
3,Sants-Montjuïc,199744.70333333334
4,Les Corts,583627.9366666666
5,Sarrià-Sant Gervasi,620197.0000000001
6,Gràcia,309447.34599999996
7,Horta-Guinardó,207067.28242424238
8,Nou Barris,123246.71871794871
9,Sant Andreu,216565.15095238094
10,Sant Martí,293472.8472222222
